MK	treat	soil	experiment	Termin_1	Termin_2	Termin_3	Termin_4	Termin_5	Termin_6	Termin_7	Termin_8	Termin_9	Termin_10	Termin_11	Termin_12	Termin_13	Termin_14	Termin_15
40	Fc	Loam	exp2	2601.289231	3681.664084	3195.08174	2276.039529	1525.90861	1179.971253	958.1120856	946.0725404	773.9265336	851.2890604	802.722416	757.5643447	699.0876927	743.2658404	663.0040624
41	Fc	Loam	exp2	2656.432877	3753.691713	3468.652141	2333.013154	1604.105965	1128.835982	1008.274184	981.5988852	817.6079761	864.7540858	752.3945109	767.7798518	694.82412	769.2533281	683.1242092
42	C	Loam	exp2	1163.310002	2385.006376	3748.387064	2431.756983	1576.922991	1187.84034	1058.245853	1036.799523	845.8660271	898.4211244	783.7508007	782.7817527	710.6531515	767.7499041	661.5348258
43	C	Loam	exp2	1779.951938	2535.002578	3787.853826	2507.785288	1660.349632	1244.395881	1135.370279	1070.294838	882.82137	902.5941167	886.4078105	830.5901499	759.8401426	805.4212154	693.8930717
44	C	Loam	exp2	1795.574976	2209.940472	3789.997247	2466.239996	1742.142716	1236.820684	1069.265289	986.5706652	857.44896	919.8755075	887.388224	843.0445031	776.3720113	1515.067717	760.7694158
45	Lt	Sand	exp2	1709.725124	3304.968136	2885.38172	2632.510731	2019.585422	1599.486227	1302.461949	1080.850275	868.7935078	941.2693451	862.6644575	792.1089793	795.0789774	761.9064803	612.5241947
46	Lt	Sand	exp2	1883.500563	3296.849558	3045.007846	2529.788452	2274.051162	1596.3949	1269.785831	1024.16421	965.6395225	840.4469978	794.3529162	734.3208926	679.9629609	683.9715591	730.5035721
47	Lt	Sand	exp2	1526.474962	3347.404567	2839.375637	2671.565861	2010.132085	1586.702436	1254.824152	960.78091	884.88458	850.8962059	1005.305468	821.2860837	745.8492417	695.9310496	696.2308375
48	int	Sand	exp2	2098.028179	3997.757103	3407.792853	2786.326376	2485.804501	1530.539911	1163.770739	972.0768081	865.5708737	810.641399	862.8437571	858.906359	806.5891465	706.543144	679.7455781
49	int	Sand	exp2	2413.38755	4119.432505	3363.439741	2658.39304	2012.024635	1394.029957	1110.125445	954.1770934	816.1171038	780.3336125	758.5442037	754.1123406	697.371927	708.0415967	677.430824
50	int	Sand	exp2	2230.596541	4123.135353	3311.851122	2805.099682	2053.471982	1461.823643	1176.121345	890.784465	822.9480282	808.5126312	770.8406457	774.0427412	708.1429797	712.5107099	713.0696056
51	Fc	Sand	exp2	3390.330303	4565.810002	3303.487635	2656.779298	1607.053706	1120.542577	891.3671688	659.3921617	710.0802136	654.3317734	638.9811963	646.596934	670.5382824	756.558387	646.38957
52	Fc	Sand	exp2	3764.24217	4706.593842	3264.223407	2717.159758	1608.616703	1071.361585	854.6041761	638.7550029	697.5100324	726.0523853	857.4654559	823.6069045	689.3560763	763.9149494	621.8919295
53	Fc	Sand	exp2	3673.542708	5745.946783	3281.659266	2569.760938	1617.088084	1107.939753	859.0713995	678.617759	693.5303998	694.9107502	838.1652865	907.9207484	744.242472	634.6180646	599.3320001
54	C	Sand	exp2	2612.429997	4884.923344	3831.076362	2590.107577	1857.841885	1342.810663	923.131358	680.2821243	759.1448255	885.6569976	913.1547665	726.2422588	690.3431855	628.4760568	566.3013987
55	C	Sand	exp2	2516.834372	3852.104283	3150.472826	2601.426116	1845.337668	1199.774534	872.9024269	669.9619683	739.0923083	861.3680303	940.4697878	763.8271004	678.07496	657.3508592	585.0620214
56	C	Sand	exp2	2427.367408	4051.654241	3201.589248	2585.284796	1772.97687	1258.764112	883.4219234	674.6967308	753.7936144	900.0342579	937.3791522	731.8347693	705.5802174	635.2946678	575.6207216
57	blank	NA	NA	395.1010132	462.1947537	377.3847581	415.4435683	384.643363	385.6322566	380.0203614	375.7971592	378.6392797	396.4872251	373.355446	395.9094375	370.1956884	395.337541	388.9323317
58	blank	NA	NA	385.5852748	438.6933769	360.7083995	403.0876312	371.9301097	382.6777337	376.7408742	352.4930803	381.575298	387.1328997	370.344826	398.749178	401.1742232	380.3071788	382.3396346
59	blank	NA	NA	391.7325055	441.3815554	378.8795271	402.2287544	376.670119	381.0234019	377.317203	357.3884646	379.0004019	395.2882187	369.4198691	390.3104957	390.7968824	390.3944686	390.5385223
